AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0.0196,0.040400000000000005,0.035199999999999995,0.053200000000000004,0.011200000000000002,0.0388,0.0,0.029599999999999998,0.004,0.0,0.0124,0.0252,0.021200000000000004,0.0268,0.054000000000000006,0.0648,0.0336,I need to take a break
0.0152,0.0312,0.032,0.05,0.0116,0.033999999999999996,0.0084,0.029199999999999997,0.0,0.0,0.0,0.026000000000000002,0.026000000000000002,0.035199999999999995,0.0392,0.0816,0.0288,I need to take a break
0.014799999999999999,0.0344,0.020800000000000003,0.0504,0.011200000000000002,0.0396,0.004399999999999999,0.0372,0.0064,0.0,0.0,0.0364,0.022000000000000002,0.056799999999999996,0.016,0.0624,0.0372,I need to take a break
0.0204,0.038,0.020800000000000003,0.029599999999999998,0.0076,0.0392,0.0048000000000000004,0.0256,0.004399999999999999,0.0,0.0,0.026000000000000002,0.0368,0.0504,0.01,0.041600000000000005,0.0348,I need to take a break
0.0184,0.0308,0.0256,0.0252,0.0092,0.0368,0.0,0.021200000000000004,0.0076,0.0,0.0072,0.020800000000000003,0.032799999999999996,0.035199999999999995,0.0168,0.0464,0.0268,I need to take a break
0.027200000000000002,0.0368,0.0324,0.02,0.0072,0.0344,0.0008,0.0308,0.005600000000000001,0.0,0.0,0.0124,0.0092,0.0252,0.0336,0.041600000000000005,0.027599999999999996,I need to take a break
0.032799999999999996,0.0396,0.0264,0.03319999999999999,0.013600000000000001,0.0256,0.004,0.024,0.0048000000000000004,0.0,0.0064,0.02,0.02,0.0064,0.0312,0.022400000000000003,0.032799999999999996,I need to take a break
0.032799999999999996,0.0388,0.042800000000000005,0.0216,0.014799999999999999,0.033999999999999996,0.0012000000000000001,0.016,0.005200000000000001,0.0,0.0128,0.013600000000000001,0.0168,0.0,0.029199999999999997,0.0048000000000000004,0.0312,I need to take a break
0.022400000000000003,0.032799999999999996,0.0392,0.0336,0.0108,0.032,0.0004,0.016399999999999998,0.012,0.0,0.016,0.0116,0.0132,0.0,0.05519999999999999,0.0,0.044800000000000006,I need to take a break
0.0304,0.0236,0.035199999999999995,0.018,0.0128,0.044000000000000004,0.0048000000000000004,0.029599999999999998,0.0124,0.0,0.010400000000000001,0.005200000000000001,0.0076,0.0,0.0676,0.008,0.0308,I need to take a break
